,0 pi,2/3 pi,4/3 pi
151,1050305.7495276474,1047722.7022578156,1047701.6866254953
152,1050280.0451731377,1047735.3668222885,1047714.6633588943
153,1050251.2114883913,1047775.1382042607,1047703.6571689479
154,1050220.3371708677,1047789.8802881446,1047719.7161393794
155,1050187.2928502436,1047798.3476901005,1047744.2157255325
156,1050152.1628677985,1047791.2341925835,1047786.3785132532
157,1050114.7140907608,1047809.8592476735,1047805.1188943803
158,1050074.6851105161,1047868.5479684895,1047786.3738879535
159,1050034.510792391,1047847.5052282573,1047847.504452525
160,1050084.3062335812,1047822.6602986848,1047822.6594964777
161,1050119.6954467413,1047918.2380579379,1047691.7819108239
162,1050153.664296854,1047947.4663802475,1047628.6724861788
163,1050194.4770631462,1047898.8388399871,1047636.5726284743
164,1050236.2111439875,1047777.3250515874,1047716.434588668
165,1050268.979162808,1047758.9725720028,1047702.0974330895
166,1050299.5234839239,1047717.9544678361,1047712.6450015048
167,1050327.1130681932,1047701.5396458394,1047701.5387145473
168,1050351.9167475682,1047689.1690598073,1047689.1681153292
169,1050373.8059662962,1047678.2523963536,1047678.2514402395
170,1050392.6637961823,1047668.8478312519,1047668.8468651131
171,1050408.388866377,1047663.8276561161,1047658.1829666855
172,1050420.879496627,1047663.3002476137,1047646.2526161325
173,1050430.089108918,1047661.6055370085,1047638.7621032841
174,1050231.4820575078,1048483.7121279374,1047015.2782096713
175,1050094.4575215725,1048751.9032896704,1046884.1183208269
176,1050437.1575082082,1047686.3655921634,1047606.9537850292
177,1050433.154450195,1047679.8496738543,1047617.4615541582
178,1050425.9310032588,1047655.106666063,1047649.4079617343
179,1050415.0294563302,1047666.1905535898,1047649.1969558056
180,1050400.9215113563,1047667.5400827517,1047661.9183865765
181,1050383.620215769,1047673.3579124351,1047673.3569511034
182,1050363.2333570344,1047683.5251602815,1047683.5242097877
183,1050339.6968415354,1047716.6933248803,1047673.8332955104
184,1050313.2739277857,1047740.1072365185,1047676.7767328554
185,1050284.6896014393,1047733.0784724685,1047712.3186040999
186,1050253.240792175,1047738.385302185,1047738.3844101649
187,1050219.32162672,1047762.7563230009,1047747.8521435095
188,1050182.4990383745,1047815.2387852399,1047732.1083700485
189,1050144.409722823,1047830.8374809804,1047754.5123335079
190,1050103.730880158,1047866.3717688174,1047759.568233139
191,1050063.1602610764,1047846.6999723114,1047819.7207114849
192,1049884.098847649,1048618.6131410387,1047226.9725875795
193,1049850.034886339,1048744.4031035672,1047135.3391950565
194,1049900.368414925,1048717.623259277,1047111.8764143089
195,1050086.24502182,1048407.0221675693,1047236.6893427523
196,1049929.2164277788,1048777.288511371,1047023.5368071528
197,1049935.5883613357,1048814.4151872552,1046980.1194046746
