,0 pi,2/3 pi,4/3 pi
100,1016925.5586908227,1099803.6486405772,1030876.632052269
101,1029789.4471732796,1041007.5339445404,1075471.5076993455
102,1026052.8602959496,1011216.5552300763,1111237.044577488
103,1098008.2361439408,1006453.6605834224,1043289.9975290307
104,1081352.1592356954,1011034.6327113971,1054542.239768006
105,1045425.196560648,1076411.9676133774,1024540.4481304606
106,1003424.7650895206,1114350.3628187538,1031131.3958051573
107,1020104.5815120949,1067104.780363105,1059121.8519485018
108,957640.45876149,1198939.6341925452,1004749.1395855242
109,1050562.5521087013,1061282.170686738,1034062.5783964342
110,1059717.6919244702,1056115.3957472984,1030143.2142287064
111,1068234.0249902224,1054826.326712635,1023178.0889175675
112,954699.6012130785,1144564.6853465252,1055067.797763458
113,1062175.4889482502,1043796.6922941266,1039890.8654139357
114,1000158.1269150914,1107847.6826084033,1040544.7177584199
115,1081812.4089443868,1019729.4788196102,1045115.2151106298
116,1039166.8404534637,1088059.2189808278,1019685.2898070152
117,1019377.1107449791,1067527.4210965824,1059457.6654264638
118,1026032.9063095248,1055654.1532366078,1064426.9372115484
119,1038690.1936073608,1051875.7461445322,1055234.99628275
120,1032243.6361952514,1063747.0428880295,1049975.188996477
121,1054681.6575063504,1057923.2156955947,1033293.9211445873
122,1075273.0758159878,1039688.9757194452,1031285.9718063186
123,1041289.5138947797,1048725.7285971865,1055762.7125440878
124,1119976.0767208524,1027917.8291124728,1001522.0807998735
125,1044716.2561247278,1054825.9178469176,1046214.215412463
126,1065239.1899220832,1054381.1862329855,1026488.6943405207
127,1025521.6046715751,1062964.4517920734,1057633.1953149152
128,1898790.381109023,1357260.2173921948,421981.3069749244
129,1062472.2451167102,1041784.5978304378,1041608.3766111195
130,982097.61659899,1066907.701458138,1100262.1030995338
131,1126151.843890993,1005559.6742219841,1018205.4657999806
132,1021482.1262303665,1072378.5417621334,1052494.7851605532
133,1064337.8596841278,1048229.8865592865,1033388.7499155881
134,1060083.221382767,1081687.9059663322,1005430.1357071362
135,1035328.5173941783,1042332.230172189,1068356.0746088997
136,1038125.0839039568,1036688.2884791589,1071279.865996007
137,1055174.9598900042,1059814.1105240255,1030967.75151276
138,1057402.0024415476,1089581.8801946437,1000676.4990059177
139,1060498.0291763856,1025733.5152761611,1059873.8761692618
140,1230122.3364672533,1101090.517735555,850124.0793763292
141,1029919.9784951747,1067861.3941636754,1048289.9577695914
142,1094048.779200031,1024244.1847920903,1028887.8307272409
143,934767.1287584598,1120998.7367755484,1099878.7771232866
144,1086980.0094784806,895460.5374713726,1183825.2989680443
145,1050434.3515625265,1045195.5722635826,1050106.2885126537
146,1049160.5978078963,1051856.8319955375,1044722.9448817952
147,1060859.1029848617,1052588.3119624406,1032483.680612871
148,1066242.9813622718,1025422.4302843318,1054483.6600582304
149,1031358.8230909102,1074865.999797312,1040009.0548522226
150,1010019.0038243559,1100358.2468826086,1037397.1502261292
151,1048984.7372291351,1053951.8825052255,1042821.0331136913
152,1064405.6742385856,1012960.8324723596,1069290.282764012
153,1079606.1555507875,1022207.5326041369,1044712.0055621926
154,1091328.3648288148,1007199.0213042842,1048888.1249558462
155,1048570.9776760605,1034095.4245250506,1063264.4558218715
156,1152501.8271055885,946591.0832111443,1056760.3982967185
157,1055027.4905596813,1046587.4500602288,1044144.1572542862
158,1071047.47547287,1043009.4824414245,1032056.7036407962
159,1035732.8957062452,1056874.1085438263,1053242.8651293176
160,1232582.5726481252,773055.6579685957,1203199.4966782317
161,1056816.1631517026,1056630.5439768208,1032468.3187537272
162,1063682.0842629347,1028573.763260971,1053784.6624259849
163,1079321.079795653,1019583.7419984014,1047674.9910031115
164,1091939.7160736015,1036680.6626135745,1018502.6877163097
165,1043489.4695956544,1058168.5623364465,1044135.5836769338
166,1007276.1724425175,1110915.302843366,1030359.8936583446
167,1023267.5677961375,1068357.2407569038,1054612.5333952415
168,1072377.387966711,1017209.7643268699,1056913.1599774677
